Unit: GPU minutes,sum,ec01,ec11,ec12,ec15,ec29,ec30,ec31,ec35,ec54,ec56,ec98,ec109,ec154,ec192,ec195,ec201,ec206,ec217,ec232,ec281,ec309,ec313,ec354,ec403,ec422,ec425,ec428,ec443,ec488,ec503,ec511,ec564
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_13,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_14,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_15,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_16,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_17,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_18,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_19,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_2,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_20,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_3,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_4,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_5,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_6,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_7,1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_8,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B1/20240731_1327_MN46011_FAZ48917_4a4d5323/pod5_file_id=FAZ48917_4a4d5323_6022ef8c_9,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_0,3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3037,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_1,3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_10,2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2983,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_11,3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_12,3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3377,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_13,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3099,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_14,3356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3356,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_15,3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_16,2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_17,3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_18,3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3103,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_19,2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_2,3665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3665,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_20,2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_21,2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2541,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_22,2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_23,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_24,2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2869,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_25,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_26,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_27,2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_28,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_29,2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_3,4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_30,2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_31,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_32,2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2166,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_33,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2114,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_34,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_35,1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_36,3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3379,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_37,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_38,3019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_39,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_4,7916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7916,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_40,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_41,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_42,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2796,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_43,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_44,1239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_45,1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_46,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_5,4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4409,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_6,3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3846,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_7,7126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7126,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_8,3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3891,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D7_S6_B2/20240918_1340_P2S-02475-A_PAY57570_8b14d685/pod5_file_id=PAY57570_8b14d685_0d323596_9,3505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3505,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_0,2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_1,6203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6203,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_10,2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2733,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_11,2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_12,2374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_13,1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_14,1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_15,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_16,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_17,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_18,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_19,2388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2388,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_2,3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_20,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_21,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_22,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_23,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_3,7248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7248,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_4,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3399,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_5,3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_6,3620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3620,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_7,3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3417,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_8,3393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393,
smk-dorado_basecaller-exp=HL06/Ctrl_0h_D9_S9_B1/20241111_1515_P2S-02475-A_PAY61434_4ec1f3b1/pod5_file_id=PAY61434_4ec1f3b1_24eec51d_9,3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B1/20241002_1550_P2S-02475-B_PAY57740_8f131487/pod5_file_id=PAY57740_8f131487_3cbb3035_0,3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3487,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B1/20241002_1550_P2S-02475-B_PAY57740_8f131487/pod5_file_id=PAY57740_8f131487_3cbb3035_1,3634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B1/20241002_1550_P2S-02475-B_PAY57740_8f131487/pod5_file_id=PAY57740_8f131487_3cbb3035_2,3598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3598,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B1/20241002_1550_P2S-02475-B_PAY57740_8f131487/pod5_file_id=PAY57740_8f131487_3cbb3035_3,3634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B1/20241002_1550_P2S-02475-B_PAY57740_8f131487/pod5_file_id=PAY57740_8f131487_3cbb3035_4,3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B1/20241002_1550_P2S-02475-B_PAY57740_8f131487/pod5_file_id=PAY57740_8f131487_3cbb3035_5,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2949,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_0,3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3468,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_1,2862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_10,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_11,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_12,2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2923,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_13,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_14,1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_15,1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_16,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_17,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_18,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372,
smk-dorado_basecaller-exp=HL06/IFN_24h_D6_S4_B2/20241003_1427_P2S-02475-B_PAY96409_2f6289ef/pod5_file_id=PAY96409_2f6289ef_86ac8fb2_19,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,
