Card,GPU minutes,numjobs
NVIDIA/NVIDIA A100 80GB PCIe/83886080 , 367781 , 648
NVIDIA/NVIDIA A100-PCIE-40GB/41943040 , 469960 , 468
NVIDIA/NVIDIA A40/47173632 , 99389 , 219
NVIDIA/NVIDIA GeForce RTX 3090/25165824 , 1155515 , 1624
NVIDIA/NVIDIA H100 NVL/98129920 , 41371 , 205
NVIDIA/NVIDIA H100 PCIe/83516416 , 0 , 201
NVIDIA/NVIDIA L40S/47173632 , 318377 , 475
