JobName/m30,Duration,CpuAvgPct,CpuPeakPct,RequestedCpus,Cmd
OOD Jupyter,0d5h25m,20,24,24,"jupyter-lab,python3,wandb-core"
OOD Jupyter,0d11h40m,782,5260,32,"python,python <defunct>"
OOD Jupyter,0d6h40m,31,448,24,"jupyter-lab,python"
OOD Jupyter,0d2h35m,42,939,24,"pt_main_thread,watch"
OOD Jupyter,0d7h55m,31,339,32,"jupyter-lab,python"
OOD Jupyter,0d8h10m,1,16,24,"jupyter-lab,python"
OOD Jupyter,0d3h45m,167,1414,24,"pip,pt_main_thread,python,watch"
OOD Jupyter,0d2h15m,251,1568,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d2h30m,61,241,24,"jupyter-lab,pt_main_thread,watch"
OOD Jupyter,0d10h40m,1,2,24,"jupyter-lab,python"
OOD Jupyter,0d11h50m,543,5490,32,"python,python <defunct>"
OOD Jupyter,0d6h40m,38,301,32,python
OOD Jupyter,0d4h45m,6,100,2,"jupyter-lab,python"
OOD Jupyter,0d2h45m,20,313,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d2h45m,17,136,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d2h55m,7,103,24,pt_main_thread
OOD Jupyter,0d6h20m,287,11429,16,"jupyter-noteboo,pt_main_thread"
OOD Jupyter,0d2h45m,26,293,8,"jupyter-lab,python3"
OOD Jupyter,0d4h20m,20,96,24,"python3,wandb-core"
OOD Jupyter,0d7h50m,1,12,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d11h49m,453,2342,32,python
OOD Jupyter,0d7h55m,1,44,16,pt_main_thread
OOD Jupyter,0d3h30m,68,101,2,"jupyter-lab,python"
OOD Jupyter,0d2h10m,899,1797,24,"pt_main_thread,watch"
OOD Jupyter,0d2h40m,35,338,24,python3
OOD Jupyter,0d3h0m,13,124,24,pt_main_thread
OOD Jupyter,0d2h45m,10,94,24,"conda,pt_main_thread <defunct>,watch"
OOD Jupyter,0d7h30m,26,121,24,"python3,wandb-core"
OOD Code Server,0d21h50m,3037,14840,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d2h5m,28,109,24,pt_main_thread
OOD Jupyter,0d2h45m,100,103,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d2h50m,8,135,24,pt_main_thread
OOD Jupyter,0d2h30m,44,485,8,"jupyter-lab,python"
OOD Code Server,0d11h50m,2012,5655,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d2h35m,7,7,24,watch
OOD Jupyter,0d2h15m,62,101,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d9h55m,133,4256,24,"jupyter-noteboo,pt_main_thread"
OOD Code Server,1d11h55m,2362,41149,32,"node,ps.sh,python,squashfuse_ll"
OOD Jupyter,0d2h20m,1,19,8,pt_main_thread
OOD Jupyter,0d3h55m,38,1432,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d11h50m,366,3751,32,"jupyter-lab,python,python <defunct>"
OOD Jupyter,0d3h30m,1,3,2,"jupyter-lab,python"
OOD Jupyter,0d3h50m,1537,1733,24,"htop,pt_main_thread"
OOD Jupyter,0d2h5m,1,19,8,pt_main_thread
OOD Jupyter,0d2h45m,56,125,24,"jupyter-noteboo,pt_main_thread"
OOD Jupyter,0d3h40m,45,1326,24,"jupyter-lab,pt_main_thread"
OOD Jupyter,0d2h5m,2,20,8,pt_main_thread
OOD Jupyter,0d8h55m,64,103,24,"jupyter-lab,pt_main_thread"
